=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-22_5-0-50
====================================================================================
5:0:50 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
5:0:50 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
5:0:50 | Building Sets Loaded: 0
5:0:50 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
5:0:50 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
5:54:26 | Player "Syntactix" (steamId=76561199240649723) connected to server!
5:55:3 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3854.193359, 394.999481, 6288.611328>)
5:55:4 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3810.240234, 390.302734, 6199.518066>)
5:55:8 | "Syntactix" (steamid=76561199240649723) toggled freecam
5:55:11 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3706.482666, 402.000000, 5995.862305>)
5:55:12 | "Syntactix" (steamid=76561199240649723) toggled freecam
5:55:56 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3716.053223, 401.999969, 5996.954590>)
5:55:57 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3706.079834, 401.999969, 5993.224609>)
5:55:57 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3699.503906, 402.000000, 5984.700684>)
5:56:9 | Player "Syntactix" (steamId=76561199240649723) initiated disconnect process...
5:56:9 | Player "Syntactix" (steamId=76561199240649723) disconnected early from server (EXIT NOW).
