=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-26_5-1-8
====================================================================================
5:1:8 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
5:1:8 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
5:1:8 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
5:1:8 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
5:1:8 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
5:1:8 | [PermissionManager] Perm (MenuBansManager) has been registered!
5:1:8 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
5:1:8 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
5:1:8 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
5:1:8 | [PermissionManager] Perm (MenuWebHooks) has been registered!
5:1:8 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
5:1:8 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
5:1:8 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
5:1:8 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
5:1:8 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
5:1:8 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
5:1:8 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
5:1:8 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
5:1:8 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
5:1:8 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
5:1:8 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
5:1:8 | [PermissionManager] Perm (EspToolsMenu) has been registered!
5:1:8 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
5:1:8 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
5:1:8 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
5:1:8 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
5:1:8 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
5:1:8 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
5:1:8 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
5:1:8 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
5:1:8 | [PermissionManager] Adding Super Admin (76561199240649723)
5:1:8 | [PermissionManager] Adding Super Admin (76561199011835169)
5:1:8 | [PermissionManager] Loaded UserGroups.json
5:1:8 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
5:1:8 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
5:1:8 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
5:1:8 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
5:1:8 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
5:1:8 | Building Sets Loaded: 0
5:1:8 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
5:1:8 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
0:26:7 | Player "TootieBad88" (steamId=76561199760628699) connected to server!
1:48:54 | Player "DopeMagic93" (steamId=76561199389329337) connected to server!
2:16:5 | Player "DopeMagic93" (steamId=76561199389329337) initiated disconnect process...
2:16:6 | Player "DopeMagic93" (steamId=76561199389329337) disconnected early from server (EXIT NOW).
3:42:33 | Player "TootieBad88" (steamId=76561199760628699) initiated disconnect process...
3:42:35 | Player "TootieBad88" (steamId=76561199760628699) disconnected early from server (EXIT NOW).
