=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-19_21-5-36
====================================================================================
21:5:36 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
21:5:36 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
21:5:36 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
21:5:36 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
21:5:36 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
21:5:36 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
21:5:37 | Building Sets Loaded: 0
21:5:37 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
21:5:37 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
4:25:16 | Player "Syntactix" (steamId=76561199240649723) connected to server!
4:36:24 | "Syntactix" (steamid=76561199240649723) Spawned Item: (A6_SCARL)
4:36:53 | "Syntactix" (steamid=76561199240649723) Spawned Item: (A6_SCAR_16S17S_Buttstock_Black)
4:37:17 | "Syntactix" (steamid=76561199240649723) Spawned Item: (A6_Mag_Stanag_30Rnd)
4:38:21 | "Syntactix" (steamid=76561199240649723) Spawned Item: (A6_EoTechHWS512_Optic)
4:38:29 | Player "$kizo" (steamId=76561199032441806) connected to server!
4:38:35 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4117.013672, 786.053345, 6962.560547>)
4:38:37 | "Syntactix" (steamid=76561199240649723) toggled godmode
4:38:41 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4278.982422, 288.024994, 7309.711914>)
4:42:1 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_CPC_Black)
4:42:19 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_MMAC_Black)
4:42:32 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:42:52 | "Syntactix" (steamid=76561199240649723) deleted the preset: (Civilian Sedan Car)
4:42:54 | "Syntactix" (steamid=76561199240649723) deleted the preset: (Black Camo AKM)
4:42:57 | "Syntactix" (steamid=76561199240649723) edited preset: (Black Camo AKM)
4:43:6 | "Syntactix" (steamid=76561199240649723) Created a new item preset: (Dummy T4)
4:43:15 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SurvivorM_Mirek)
4:43:32 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:43:33 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:43:38 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:43:38 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:43:59 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:44:23 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:44:25 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:44:44 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:44:48 | [VPPItemManager]:: SpawnItemPreset(): WARNING! preset: Dummy T4 has no parrent!
4:44:48 | "Syntactix" (steamid=76561199240649723) spawned preset: (Dummy T4)
4:44:49 | "Syntactix" (steamid=76561199240649723) edited preset: (Dummy T4)
4:44:52 | "Syntactix" (steamid=76561199240649723) spawned preset: (Dummy T4)
4:45:12 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Vest_Gen4_Black)
4:45:15 | "Syntactix" (steamid=76561199240649723) spawned preset: (Dummy T4)
4:45:20 | "Syntactix" (steamid=76561199240649723) gave unlimited ammo to (steamid=76561199240649723)
4:46:20 | "Syntactix" (steamid=76561199240649723) started to spectate player: "76561199032441806"
6:47:2 | Player "$kizo" (steamId=76561199032441806) initiated disconnect process...
6:47:6 | Player "$kizo" (steamId=76561199032441806) disconnected early from server (EXIT NOW).
6:47:17 | Player "$kizo" (steamId=76561199032441806) disconnected from server.
