=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-9_9-10-4
====================================================================================
9:10:4 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
9:10:4 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
9:10:4 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
9:10:4 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
9:10:4 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
9:10:4 | [PermissionManager] Perm (MenuBansManager) has been registered!
9:10:4 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
9:10:4 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
9:10:4 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
9:10:4 | [PermissionManager] Perm (MenuWebHooks) has been registered!
9:10:4 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
9:10:4 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
9:10:4 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
9:10:4 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
9:10:4 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
9:10:4 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
9:10:4 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
9:10:4 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
9:10:4 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
9:10:4 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
9:10:4 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
9:10:4 | [PermissionManager] Perm (EspToolsMenu) has been registered!
9:10:4 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
9:10:4 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
9:10:4 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
9:10:4 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
9:10:4 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
9:10:4 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
9:10:4 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
9:10:4 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
9:10:4 | [PermissionManager] Adding Super Admin (76561199240649723)
9:10:4 | [PermissionManager] Adding Super Admin (76561199011835169)
9:10:4 | [PermissionManager] Loaded UserGroups.json
9:10:4 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
9:10:4 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
9:10:4 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
9:10:4 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
9:10:4 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
9:10:4 | Building Sets Loaded: 0
9:10:4 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
9:10:4 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
9:11:39 | Player "Syntactix" (steamId=76561199240649723) connected to server!
9:12:19 | Player "Hellcatz" (steamId=76561199011835169) connected to server!
9:12:40 | [WeatherManager] Send Data Count is 0
9:12:47 | [Time Manager] Setting Date to 2025/9/20 9:28
9:13:59 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SalineBagIV)
9:14:2 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<7539.291992, 1111.083008, 8446.550781>)
9:14:11 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<6711.985352, 537.337952, 8009.224121>)
9:14:12 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<6376.452637, 305.742676, 7832.058594>)
9:14:24 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<6354.187988, 307.284576, 7816.476074>)
9:14:42 | "Syntactix" (steamid=76561199240649723) /heal used on: "Syntactix" (steamid=76561199240649723)
9:15:22 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<6349.039063, 307.051544, 7793.284668>)
9:15:26 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<6350.678711, 307.935730, 7793.117188>)
9:15:26 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<6347.414551, 304.986084, 7808.231445>)
9:16:5 | "Syntactix" (steamid=76561199240649723) toggled freecam
9:16:8 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4788.411133, 339.223358, 10073.812500>)
9:16:9 | "Syntactix" (steamid=76561199240649723) toggled freecam
9:16:15 | "Hellcatz" (steamid=76561199011835169) toggled freecam
9:16:30 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4819.964844, 339.125000, 10014.931641>)
9:16:33 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4829.839355, 338.999969, 9996.220703>)
9:16:34 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4413.958984, 339.022461, 10246.863281>)
9:16:35 | "Hellcatz" (steamid=76561199011835169) toggled freecam
9:16:37 | "Syntactix" (steamid=76561199240649723) toggled freecam
9:16:41 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4424.492676, 338.719757, 10224.464844>)
9:16:42 | "Syntactix" (steamid=76561199240649723) toggled freecam
9:17:56 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Dripclava_LVSupreme)
9:18:24 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Shirt_ArcticJacket_Red)
9:18:37 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_ArcticPants_Red)
9:18:47 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_FerroGloves_Black_RedTrim)
9:18:52 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_DEFCONVans_Shoes_Red)
9:18:56 | "Syntactix" (steamid=76561199240649723) Spawned Item: (FOG_Maritime_Shoes_Red)
9:19:17 | "Hellcatz" (steamid=76561199011835169) /heal used on: "Hellcatz" (steamid=76561199011835169)
9:19:48 | "Syntactix" (steamid=76561199240649723) /heal used on: "Syntactix" (steamid=76561199240649723)
9:20:21 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4359.688965, 339.218903, 10253.226563>)
9:20:25 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4359.125000, 339.162476, 10256.966797>)
9:20:28 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4353.556152, 339.000031, 10249.676758>)
9:20:33 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4349.112305, 339.000031, 10256.438477>)
9:20:37 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4357.845215, 339.034546, 10256.400391>)
9:20:39 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4356.783203, 338.999908, 10255.928711>)
9:20:39 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4350.060547, 339.000000, 10263.242188>)
9:20:44 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4379.558594, 338.995270, 10264.010742>)
9:20:47 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4368.889648, 338.997070, 10273.277344>)
9:20:47 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4383.041016, 338.986633, 10270.020508>)
9:20:48 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4392.295410, 339.003906, 10261.877930>)
9:20:49 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4394.188965, 339.006866, 10250.960938>)
9:20:49 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4401.601074, 339.008820, 10242.223633>)
9:20:50 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4395.642578, 339.002960, 10246.585938>)
9:20:50 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4406.477539, 338.847229, 10223.277344>)
9:20:51 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4397.656250, 338.831696, 10213.829102>)
9:20:52 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4395.395020, 340.852661, 10216.822266>)
9:21:2 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4399.916504, 342.539276, 10229.770508>)
9:21:3 | "Hellcatz" (steamid=76561199011835169) teleported to crosshair (pos=<4409.398926, 349.814728, 10229.195313>)
9:22:4 | "Hellcatz" (steamid=76561199011835169) /heal used on: "Hellcatz" (steamid=76561199011835169)
9:24:6 | "Syntactix" (steamid=76561199240649723) Spawned Item: (Hideout_Money)
9:53:1 | "Hellcatz" (steamid=76561199011835169) /heal used on: "Hellcatz" (steamid=76561199011835169)
9:53:5 | "Hellcatz" (steamid=76561199011835169) gave godmode to (steamid=76561199011835169)
10:31:33 | Player "Hellcatz" (steamId=76561199011835169) initiated disconnect process...
10:31:33 | Player "Syntactix" (steamId=76561199240649723) initiated disconnect process...
